iter	RMSE
0	1877.893541
1	1795.908884
2	1718.979698
3	1644.876716
4	1575.828383
5	1510.318817
6	1448.183207
7	1386.673142
8	1328.805858
9	1273.985106
10	1223.469912
11	1175.963878
12	1129.023439
13	1084.683005
14	1044.788371
15	1005.792707
16	969.7830972
17	935.5750297
18	902.3875723
19	871.2286127
20	841.4327239
21	813.4400842
22	785.8602399
23	760.5332074
24	735.9314198
25	712.3671082
26	691.6306045
27	670.5258943
28	650.8611806
29	632.8574815
30	616.3147397
31	601.6092572
32	586.506961
33	572.4303252
34	558.9184544
35	547.5691821
36	535.7678046
37	524.4608233
38	514.0745052
39	504.5232274
40	495.3609158
41	487.0771965
42	479.1434035
43	470.9424818
44	463.6889271
45	456.9356301
46	450.8320471
47	445.0126278
48	439.6604771
49	434.5182141
50	429.4179347
51	424.7931403
52	420.124315
53	415.8822228
54	411.9750621
55	408.5101958
56	405.5047555
57	402.0884201
58	398.9899453
59	395.7284063
60	392.9763154
61	390.3347219
62	387.3084297
63	384.5231146
64	382.0985855
65	380.0510533
66	377.5425063
67	375.4960618
68	373.5479351
69	371.1508977
70	369.2628603
71	367.2758232
72	365.2330792
73	363.7086204
74	362.2282821
75	360.4374977
76	358.7685259
77	357.1415518
78	355.9277607
79	354.6986895
80	353.3465839
81	352.1610853
82	351.0999088
83	349.9272349
84	348.5618549
85	347.403824
86	346.3461773
87	345.3456485
88	344.1465777
89	343.3078443
90	342.2983733
91	341.2881459
92	340.4307087
93	339.4716836
94	338.6817773
95	337.8183836
96	337.0366944
97	336.0747861
98	335.243026
99	334.6390036
100	333.8511614
101	333.0166389
102	332.3699532
103	331.7553681
104	330.9326477
105	330.2418303
106	329.8102251
107	329.2920316
108	328.6037794
109	327.6726556
110	327.1574671
111	326.4529792
112	325.780504
113	325.3468588
114	324.6902492
115	324.1623417
116	323.5286896
117	322.8830154
118	322.3962086
119	321.8056466
120	321.2230174
121	320.644013
122	319.9971302
123	319.4623655
124	318.9506912
125	318.4498397
126	317.9618457
127	317.5166888
128	316.872006
129	316.230191
130	315.8416961
131	315.2673202
132	314.7606463
133	314.2936626
134	313.7902239
135	313.3100318
136	312.9202108
137	312.4444492
138	312.0738367
139	311.6015253
140	311.2359327
141	310.7088242
142	310.2906483
143	310.0247137
144	309.6207522
145	309.26123
146	308.9262377
147	308.5622519
148	307.9922525
149	307.6353243
150	307.2114939
151	306.9044563
152	306.559806
153	306.1266834
154	305.6678341
155	305.1564526
156	304.8053733
157	304.5790134
158	304.1404508
159	303.7868119
160	303.4404679
161	303.028315
162	302.5068184
163	302.1685562
164	301.7639239
165	301.4283286
166	301.1978327
167	300.8689039
168	300.3988424
169	299.9857179
170	299.5093321
171	299.2456947
172	298.8216108
173	298.4213686
174	298.1693665
175	297.7930433
176	297.4668314
177	297.0787308
178	296.7348981
179	296.3997007
180	295.9944102
181	295.7604061
182	295.5210549
183	295.1617748
184	294.8727011
185	294.5246558
186	294.2346598
187	293.8715612
188	293.545195
189	293.2144629
190	292.981592
191	292.6181853
192	292.2991041
193	292.0421671
194	291.8194097
195	291.5749976
196	291.2849119
197	290.974281
198	290.6202863
199	290.2013399
200	289.8751522
201	289.546614
202	289.2414088
203	288.9220449
204	288.6653616
205	288.4404226
206	288.177787
207	287.8583436
208	287.5480028
209	287.270611
210	287.0105074
211	286.7752692
212	286.4713928
213	286.2137408
214	285.9545094
215	285.5879988
216	285.3423889
217	285.0461381
218	284.8086919
219	284.5337614
220	284.2150758
221	283.9694515
222	283.7873378
223	283.4614245
224	283.2674689
225	283.0351197
226	282.8091229
227	282.5789792
228	282.3377167
229	282.1418255
230	281.8836595
231	281.5936434
232	281.3337275
233	281.168777
234	280.952965
235	280.7102952
236	280.4571634
237	280.2274227
238	279.9208214
239	279.6776165
240	279.4858661
241	279.3030832
242	279.0471707
243	278.7996052
244	278.5844841
245	278.4218369
246	278.1925072
247	277.9810798
248	277.6956859
249	277.4727114
250	277.2594711
251	277.0733929
252	276.821245
253	276.6520528
254	276.4637523
255	276.2784685
256	276.082928
257	275.9262381
258	275.6928184
259	275.469899
260	275.2721313
261	275.0858056
262	274.8939999
263	274.7033726
264	274.529637
265	274.3235333
266	274.077227
267	273.8983722
268	273.6406265
269	273.4267992
270	273.2817066
271	273.1337122
272	272.9247277
273	272.7371342
274	272.5517524
275	272.3537722
276	272.1772052
277	271.9379991
278	271.7695253
279	271.5606384
280	271.3733704
281	271.2210777
282	271.0302963
283	270.814073
284	270.6795795
285	270.5066323
286	270.3377462
287	270.1283171
288	269.8898588
289	269.7510144
290	269.5874867
291	269.4048694
292	269.2404322
293	269.0706686
294	268.9460105
295	268.7220295
296	268.5860162
297	268.420366
298	268.2555519
299	268.0779525
300	267.9342495
301	267.7881029
302	267.5677369
303	267.4189994
304	267.2447329
305	267.0954997
306	266.9186143
307	266.7894901
308	266.640762
309	266.4938258
310	266.3843131
311	266.2123597
312	266.0544709
313	265.9262386
314	265.7982171
315	265.6206334
316	265.4623446
317	265.3229532
318	265.1350124
319	264.9938581
320	264.8519183
321	264.6971506
322	264.5685697
323	264.4369664
324	264.3325533
325	264.2179206
326	264.0559306
327	263.9344666
328	263.8431664
329	263.6727011
330	263.5688915
331	263.4256375
332	263.2913948
333	263.1526633
334	263.0403234
335	262.9031154
336	262.8008738
337	262.6811487
338	262.5315654
339	262.3996938
340	262.269723
341	262.1342874
342	262.013663
343	261.8763031
344	261.7155957
345	261.5968352
346	261.523147
347	261.3976141
348	261.2787811
349	261.1264265
350	261.0372887
351	260.9058508
352	260.8125258
353	260.6840562
354	260.5793146
355	260.4722925
356	260.3160117
357	260.1836377
358	260.0624434
359	259.9249132
360	259.7875382
361	259.6805504
362	259.5972348
363	259.4610979
364	259.3135341
365	259.2099026
366	259.0895155
367	258.9446331
368	258.8202618
369	258.674077
370	258.5571371
371	258.4090772
372	258.2882516
373	258.1698997
374	258.0789911
375	257.9712867
376	257.8501207
377	257.74657
378	257.6528603
379	257.5381723
380	257.4343577
381	257.3151884
382	257.1922308
383	257.0829731
384	256.9890468
385	256.8883745
386	256.7801085
387	256.6871452
388	256.5764289
389	256.4473645
390	256.3729266
391	256.2692452
392	256.167858
393	256.0782169
394	255.9656929
395	255.8718857
396	255.7570023
397	255.6511859
398	255.5374325
399	255.4676629
400	255.3721556
401	255.2475124
402	255.1303683
403	255.0228092
404	254.8921232
405	254.8032653
406	254.6946232
407	254.5914202
408	254.4736122
409	254.3806663
410	254.2698161
411	254.1656325
