iter	Passed	Remaining
0	197	197178
1	210	104817
2	221	73709
3	229	57207
4	237	47168
5	245	40617
6	253	35891
7	260	32355
8	268	29559
9	276	27373
10	284	25544
11	291	24003
12	298	22695
13	306	21612
14	314	20634
15	322	19804
16	329	19048
17	336	18369
18	344	17781
19	351	17209
20	358	16723
21	366	16273
22	373	15874
23	381	15507
24	389	15181
25	396	14867
26	403	14548
27	411	14275
28	418	14007
29	426	13777
30	433	13537
31	441	13341
32	448	13138
33	455	12940
34	464	12808
35	471	12629
36	479	12477
37	487	12335
38	494	12195
39	502	12050
40	509	11921
41	517	11792
42	524	11670
43	531	11544
44	538	11434
45	545	11317
46	553	11228
47	561	11133
48	569	11047
49	576	10952
50	583	10860
51	590	10773
52	598	10685
53	605	10610
54	612	10527
55	620	10465
56	628	10389
57	635	10326
58	643	10258
59	650	10197
60	657	10127
61	664	10059
62	673	10023
63	685	10031
64	694	9997
65	703	9957
66	710	9896
67	718	9842
68	725	9788
69	732	9737
70	740	9683
71	747	9639
72	755	9594
73	762	9541
74	769	9496
75	777	9448
76	788	9447
77	798	9438
78	810	9443
79	821	9443
80	831	9434
81	841	9418
82	849	9388
83	857	9352
84	865	9316
85	872	9275
86	880	9242
87	887	9200
88	895	9163
89	901	9120
90	909	9082
91	916	9049
92	923	9010
93	931	8982
94	939	8945
95	947	8921
96	954	8884
97	962	8857
98	969	8820
99	975	8783
100	982	8744
101	989	8707
102	996	8677
103	1003	8644
104	1011	8618
105	1018	8588
106	1026	8567
107	1033	8532
108	1040	8504
109	1047	8477
110	1054	8444
111	1062	8420
112	1069	8393
113	1076	8367
114	1083	8340
115	1091	8314
116	1098	8287
117	1105	8260
118	1112	8237
119	1119	8212
120	1127	8189
121	1134	8165
122	1142	8144
123	1149	8122
124	1157	8101
125	1164	8077
126	1171	8054
127	1178	8031
128	1185	8007
129	1193	7984
130	1200	7964
131	1207	7942
132	1215	7922
133	1222	7901
134	1229	7878
135	1236	7855
136	1244	7837
137	1250	7810
138	1257	7792
139	1264	7769
140	1272	7753
141	1279	7732
142	1287	7715
143	1294	7694
144	1301	7674
145	1308	7655
146	1315	7634
147	1322	7615
148	1329	7595
149	1337	7578
150	1344	7561
151	1352	7544
152	1359	7526
153	1366	7506
154	1374	7491
155	1381	7475
156	1389	7461
157	1396	7442
158	1403	7425
159	1411	7408
160	1418	7391
161	1425	7374
162	1432	7357
163	1440	7341
164	1447	7324
165	1454	7308
166	1461	7289
167	1468	7274
168	1475	7257
169	1483	7241
170	1490	7226
171	1497	7209
172	1505	7194
173	1511	7176
174	1518	7159
175	1526	7145
176	1533	7130
177	1540	7116
178	1548	7101
179	1555	7086
180	1563	7073
181	1570	7058
182	1577	7043
183	1585	7031
184	1592	7015
185	1598	6997
186	1606	6982
187	1613	6970
188	1621	6955
189	1628	6940
190	1635	6928
191	1642	6912
192	1650	6902
193	1658	6891
194	1665	6876
195	1672	6860
196	1679	6847
197	1686	6833
198	1694	6820
199	1702	6810
200	1709	6797
201	1717	6783
202	1723	6766
203	1730	6754
204	1738	6740
205	1745	6729
206	1753	6716
207	1760	6704
208	1767	6690
209	1774	6676
210	1782	6664
211	1789	6650
212	1796	6638
213	1804	6626
214	1812	6616
215	1819	6604
216	1830	6606
217	1840	6603
218	1849	6594
219	1857	6586
220	1867	6581
221	1876	6574
222	1883	6561
223	1889	6546
224	1898	6537
225	1905	6526
226	1915	6521
227	1921	6505
228	1929	6495
229	1936	6483
230	1944	6473
231	1951	6460
232	1959	6450
233	1966	6435
234	1973	6423
235	1980	6412
236	1987	6399
237	1995	6390
238	2003	6380
239	2010	6368
240	2017	6355
241	2025	6345
242	2032	6332
243	2040	6321
244	2047	6310
245	2055	6299
246	2063	6289
247	2069	6276
248	2076	6263
249	2083	6250
250	2091	6239
251	2098	6227
252	2105	6217
253	2112	6205
254	2120	6195
255	2127	6183
256	2134	6172
257	2142	6162
258	2149	6151
259	2156	6138
260	2163	6125
261	2170	6115
262	2177	6103
263	2184	6090
264	2191	6079
265	2199	6068
266	2206	6057
267	2213	6046
268	2222	6038
269	2229	6027
270	2236	6017
271	2244	6006
272	2251	5995
273	2258	5984
274	2265	5971
275	2272	5962
276	2280	5951
277	2287	5941
278	2294	5929
279	2305	5928
280	2313	5920
281	2323	5915
282	2331	5907
283	2339	5898
284	2346	5886
285	2353	5875
286	2362	5868
287	2370	5860
288	2377	5848
289	2385	5840
290	2392	5829
291	2400	5820
292	2407	5809
293	2415	5800
294	2422	5789
295	2429	5779
296	2439	5774
297	2447	5765
298	2454	5754
299	2461	5744
300	2469	5734
301	2476	5724
302	2484	5716
303	2491	5705
304	2499	5695
305	2506	5684
306	2514	5675
307	2521	5664
308	2528	5653
309	2535	5644
310	2543	5634
311	2550	5625
312	2558	5615
313	2566	5606
314	2573	5596
315	2581	5587
316	2589	5578
317	2597	5569
318	2604	5560
319	2612	5550
320	2619	5541
321	2626	5530
322	2633	5520
323	2641	5510
324	2648	5501
325	2656	5492
326	2663	5482
327	2670	5471
328	2677	5461
329	2684	5449
330	2690	5438
331	2698	5429
332	2706	5421
333	2714	5413
334	2722	5403
335	2729	5394
336	2736	5383
337	2744	5374
338	2751	5364
339	2758	5355
340	2765	5344
341	2772	5334
342	2779	5324
343	2787	5315
344	2794	5306
345	2801	5295
346	2809	5286
347	2816	5277
348	2824	5268
349	2831	5258
350	2838	5248
351	2846	5240
352	2853	5230
353	2861	5221
354	2868	5211
355	2876	5202
356	2883	5193
357	2891	5185
358	2898	5175
359	2907	5168
360	2913	5157
361	2920	5147
362	2927	5136
363	2934	5127
364	2942	5118
365	2949	5108
366	2957	5100
367	2963	5090
368	2973	5083
369	2980	5074
370	2988	5066
371	2995	5056
372	3002	5047
373	3009	5037
374	3016	5027
375	3024	5018
376	3031	5009
377	3039	5000
378	3046	4991
379	3055	4985
380	3062	4976
381	3070	4966
382	3076	4956
383	3083	4946
384	3091	4937
385	3097	4927
386	3105	4918
387	3111	4908
388	3119	4899
389	3126	4890
390	3134	4881
391	3140	4871
392	3148	4862
393	3155	4852
394	3162	4843
395	3169	4834
396	3176	4824
397	3183	4815
398	3191	4806
399	3198	4797
400	3205	4788
401	3212	4778
402	3219	4770
403	3226	4760
404	3234	4752
405	3242	4743
406	3250	4735
407	3256	4725
408	3264	4717
409	3271	4708
410	3278	4698
411	3286	4690
412	3292	4680
413	3300	4671
414	3307	4662
415	3315	4654
416	3322	4645
417	3330	4636
418	3337	4627
419	3344	4618
420	3351	4609
421	3359	4601
422	3366	4592
423	3374	4583
424	3381	4575
425	3388	4566
426	3395	4556
427	3402	4547
428	3410	4538
429	3417	4530
430	3424	4521
431	3432	4513
432	3439	4504
433	3447	4495
434	3454	4486
435	3461	4477
436	3468	4468
437	3475	4459
438	3483	4451
439	3490	4442
440	3498	4435
441	3507	4427
442	3515	4420
443	3523	4412
444	3531	4404
445	3539	4396
446	3547	4388
447	3555	4380
448	3563	4373
449	3570	4364
450	3578	4355
451	3585	4346
452	3592	4337
453	3599	4328
454	3606	4320
455	3614	4311
456	3621	4302
457	3628	4293
458	3635	4284
459	3642	4276
460	3649	4266
461	3656	4258
462	3663	4249
463	3671	4241
464	3679	4233
465	3687	4225
466	3695	4217
467	3702	4208
468	3709	4199
469	3716	4191
470	3724	4182
471	3730	4172
